#Example nr 1 of output depending on input.Input bus id.
VechileLongitude: 24749720 Vechicle Latitude: 59435530 VechicleId: 98 Vechicle number:4

#Example nr 2 of output depending on input. Input bus number.
Vechile Longitude: 24710320 Vechicle Latitude: 59389660 Vechicle Number: 36 Vechicle Id: 1007
Vechile Longitude: 24742530 Vechicle Latitude: 59425290 Vechicle Number: 36 Vechicle Id: 1014
Vechile Longitude: 24671670 Vechicle Latitude: 59397750 Vechicle Number: 36 Vechicle Id: 1061
Vechile Longitude: 24738880 Vechicle Latitude: 59413630 Vechicle Number: 36 Vechicle Id: 1114
Vechile Longitude: 24686940 Vechicle Latitude: 59387440 Vechicle Number: 36 Vechicle Id: 1443
Vechile Longitude: 24633830 Vechicle Latitude: 59412610 Vechicle Number: 36 Vechicle Id: 1447
Vechile Longitude: 24632250 Vechicle Latitude: 59410380 Vechicle Number: 36 Vechicle Id: 1454
Vechile Longitude: 24732660 Vechicle Latitude: 59405790 Vechicle Number: 36 Vechicle Id: 1888
Vechile Longitude: 24742590 Vechicle Latitude: 59424830 Vechicle Number: 36 Vechicle Id: 3542

How many busses use Gps:459

#Example of adding information to gps.txt from stops.txt
VechicleType;VechicleNumber;VechicleLongitude;VechicleLatitude;VechicleMFromStop;VechicleId;VechicleFirstStopId;VechicleFirstStopLongitude;VechicleFirstStopLatitude;VechicleLastStopId;VechicleLastStopLongitude;VechicleLastStopLatitude
3;2;24678770;59456430;136;97;13601-1;2483651;5940834;10609-1;2480629;5940834
3;4;24749720;59435530;235;98;01606-1;2463655;5939580;00115-1;2459505;5939580
3;4;24738500;59414370;222;102;01606-1;2463655;5939580;00115-1;2459505;5939580
3;2;24808450;59426500;262;103;13601-1;2483651;5940834;10609-1;2480629;5940834
3;4;24776220;59428290;119;104;01606-1;2463655;5939580;00115-1;2459505;5939580
3;3;24766480;59437740;255;115;11308-1;2475396;5946356;09501-1;2470183;5946356
3;2;24669040;59461320;318;117;13601-1;2483651;5940834;10609-1;2480629;5940834
3;2;24725420;59442920;122;121;13601-1;2483651;5940834;10609-1;2480629;5940834
2;0;24665930;59462810;300;138;Depoo;2483651;;Depoo;;
3;2;24755700;59437140;79;140;13601-1;2483651;5940834;10609-1;2480629;5940834
3;4;24792860;59427860;304;144;01606-1;2463655;5939580;00115-1;2459505;5939580
3;4;24742640;59427440;190;146;01606-1;2463655;5939580;00115-1;2459505;5939580
2;0;24745200;59419640;79;153;Depoo;2463655;;Depoo;;
3;3;24752370;59436350;56;155;11308-1;2475396;5946356;09501-1;2470183;5946356
3;2;24721970;59444350;311;159;13601-1;2483651;5940834;10609-1;2480629;5940834
3;2;24738480;59441120;242;160;13601-1;2483651;5940834;10609-1;2480629;5940834
3;2;24703670;59453570;311;162;13601-1;2483651;5940834;10609-1;2480629;5940834
